Planet,Distance
Kepler-1215 b,701.00
CoRoT-1 b,
Kepler-1373 b,1112.00
HD 164509 b,51.81
Kepler-573 b,758.00
XO-5 b,260.00
WASP-60 b,400.00
WASP-35 b,
Kepler-1578 b,1016.00
Kepler-519 b,234.00
K2-45 b,
OGLE-2015-BLG-0954L b,600.00
Kepler-917 b,1027.00
NGC 2682 YBP 1194 b,
Kepler-211 b,
HD 152079 b,83.33
Kepler-1542 c,336.00
K2-210 b,
Kepler-1458 b,642.00
Kepler-1542 b,336.00
HATS-41 b,800.00
HD 9446 b,52.85
HD 9446 c,52.85
WASP-29 b,70.00
USco CTIO 108 b,
Kepler-337 c,
Kepler-337 b,
Kepler-12 b,600.00
HD 196067 b,43.57
Kepler-432 c,870.00
Kepler-432 b,870.00
Kepler-1199 b,540.00
HD 100655 b,140.85
Kepler-1287 b,1027.00
Kepler-945 b,1543.00
HD 74156 b,64.60
K2-85 b,
Kepler-24 e,1200.00
Kepler-569 b,645.00
Kepler-24 d,1200.00
Kepler-1547 b,665.00
Kepler-1027 b,291.00
K2-125 b,
Kepler-641 b,673.00
Kepler-1129 b,1258.00
HD 179949 b,27.05
Kepler-1079 b,481.00
HAT-P-12 b,142.50
Kepler-1395 b,507.00
Kepler-365 b,
Kepler-365 c,
Kepler-148 d,
HD 43691 b,93.20
HD 171028 b,90.00
Kepler-148 c,
HD 125595 b,27.45
Kepler-273 b,
Kepler-148 b,
Kepler-1119 b,1288.00
Kepler-536 b,446.00
Kepler-1530 b,552.00
Kepler-1530 c,552.00
BD-17 63 b,37.54
K2-178 b,
Kepler-326 d,
Kepler-918 b,1245.00
WASP-78 b,550.00
Kepler-1191 b,876.00
MOA-2009-BLG-319L b,6100.00
K2-194 b,
K2-224 b,
Kepler-1580 b,872.00
Kepler-1410 b,367.00
Kepler-317 c,
Kepler-317 b,
K2-228 b,
Kepler-635 b,826.00
Kepler-1324 b,522.00
Kepler-1323 b,530.00
GJ 86 b,10.91
Kepler-1281 b,1090.00
Kepler-1282 b,1126.00
Kepler-832 b,1346.00
HD 149143 b,63.49
WASP-66 b,380.00
Kepler-100 c,
Kepler-100 b,
Kepler-18 d,
Kepler-1150 b,373.00
Kepler-18 c,
Kepler-100 d,
HD 7924 c,16.82
HD 7924 b,16.82
HD 7924 d,16.82
Kepler-32 f,303.00
Kepler-357 d,
Kepler-32 d,303.00
11 Com b,110.62
Kepler-32 b,303.00
Kepler-32 c,303.00
Kepler-357 c,
Kepler-357 b,
