Planet,Distance
TRAPPIST-1 b,12.10
TRAPPIST-1 g,12.10
TRAPPIST-1 f,12.10
Kepler-914 b,678.00
TRAPPIST-1 d,12.10
Kepler-874 b,1072.00
OGLE-2006-BLG-109L c,1510.00
OGLE-2006-BLG-109L b,1510.00
Kepler-1534 b,1107.00
Kepler-581 b,833.00
Kepler-1036 b,507.00
Kepler-243 c,
Kepler-11 g,613.00
Kepler-11 f,613.00
Kepler-11 e,613.00
Kepler-11 d,613.00
Kepler-11 c,613.00
Kepler-11 b,613.00
KIC 10525077 b,
Kepler-334 c,
Kepler-214 c,
Kepler-214 b,
Kepler-502 b,1433.00
HD 142022 A b,35.87
Kepler-564 b,830.00
alf Tau b,20.43
Kepler-1244 b,764.00
Kepler-54 b,
HD 221585 b,53.59
Fomalhaut b,7.70
Kepler-702 b,892.00
Kepler-68 c,135.00
Kepler-526 b,504.00
14 And b,76.39
Kepler-68 d,135.00
Kepler-690 b,1653.00
Kepler-260 b,
Kepler-260 c,
HATS-29 b,351.00
Kepler-604 b,981.00
Kepler-1440 b,685.00
Kepler-1345 b,1164.00
OGLE-2012-BLG-0563L b,1300.00
Kepler-1255 b,1344.00
K2-128 b,
Kepler-1390 b,760.00
Kepler-706 b,810.00
WD 0806-661 b,19.20
Kepler-940 b,1317.00
HD 224538 b,77.76
HD 181433 c,26.15
HD 181433 b,26.15
HD 181433 d,26.15
K2-191 b,
K2-221 b,
Kepler-1194 b,616.00
Kepler-616 c,1019.00
WASP-41 c,180.00
Kepler-616 b,1019.00
Kepler-915 b,806.00
Kepler-23 d,800.00
Kepler-59 b,
Kepler-230 c,
Kepler-230 b,
Kepler-360 c,
Kepler-360 b,
Kepler-23 b,800.00
Kepler-23 c,800.00
KELT-15 b,291.00
HD 181720 b,55.93
HD 190647 b,54.23
Kepler-1576 b,539.00
HD 98219 b,150.38
K2-175 b,
WASP-63 b,330.00
WASP-142 b,840.00
GJ 3341 b,23.16
Kepler-1415 b,1066.00
Kepler-378 b,
Kepler-170 c,
HD 164922 c,22.13
HD 164922 b,22.13
Kepler-378 c,
Kepler-1635 b,1084.00
Kepler-1185 b,296.00
WASP-83 b,300.00
Kepler-1453 b,1284.00
Kepler-424 b,
Kepler-1135 b,728.00
Kepler-978 b,624.00
BD-06 1339 c,20.10
BD-06 1339 b,20.10
HD 128311 c,16.52
HD 128311 b,16.52
HD 159868 b,52.72
HD 159868 c,52.72
BD+15 2940 b,175.44
Kepler-1246 b,435.00
Kepler-363 d,
Kepler-1056 b,971.00
Kepler-1279 b,1017.00
WASP-124 b,433.00
Kepler-566 b,628.00
Kepler-1357 b,1026.00
Kepler-1243 b,877.00
Kepler-1396 b,1236.00
Kepler-35 b,1645.00
WASP-2 b,166.00
Kepler-358 b,
Kepler-358 c,
K2-91 b,
WASP-50 b,230.00
HD 190360 b,15.89
HD 190360 c,15.89
2MASS J01225093-2439505 b,36.00
HD 67087 b,88.81
2MASS J19383260+4603591 b,
HIP 57274 b,25.87
Kepler-129 b,
Kepler-129 c,
Kepler-7 b,
HD 37605 c,42.88
K2-163 b,
HD 142245 b,106.38
K2-133 b,
K2-63 b,
HD 2039 b,89.85
HD 76920 b,184.80
Kepler-1628 b,352.00
Kepler-739 b,1128.00
Kepler-42 d,38.70
Kepler-599 b,627.00
HD 103720 b,41.60
HAT-P-56 b,310.50
Kepler-42 c,38.70
HD 240210 b,142.86
HAT-P-46 b,296.00
Kepler-909 b,318.00
Kepler-138 d,
Kepler-319 d,
Kepler-138 b,
Kepler-138 c,
18 Del b,73.10
HD 62509 b,10.34
PSR J2322-2650 b,230.00
HD 76700 b,59.70
HD 13908 c,66.89
HD 13908 b,66.89
Kepler-345 b,
Kepler-345 c,
Kepler-412 b,1056.00
HD 8535 b,52.50
Kepler-203 c,
Kepler-203 b,
Kepler-758 e,1353.00
Kepler-203 d,
Kepler-758 b,1353.00
Kepler-265 e,
HATS-53 b,613.00
Kepler-851 b,869.00
Kepler-265 d,
GQ Lup b,139.00
UKIRT-2017-BLG-001L b,6300.00
Kepler-172 d,
HD 28185 b,39.60
Kepler-1650 b,120.50
Kepler-1011 b,860.00
Kepler-265 b,
Kepler-1222 b,455.00
Kepler-1133 b,821.00
Kepler-885 b,632.00
Kepler-1295 b,1257.00
Kepler-161 c,
Kepler-497 b,1070.00
Kepler-1556 b,1060.00
HD 28254 b,54.70
Kepler-120 c,
Kepler-120 b,
Kepler-1170 b,911.00
Kepler-461 b,468.00
K2-107 b,
HD 4732 c,56.50
HD 212771 b,121.80
Kepler-85 d,
K2-68 b,
Kepler-864 b,1573.00
K2-202 b,
HD 10442 b,
HD 179079 b,63.69
Kepler-748 b,1271.00
HAT-P-41 b,344.00
HD 132406 b,70.97
Kepler-653 b,593.00
Kepler-281 b,
Kepler-1305 b,1343.00
TYC 3318-01333-1 b,555.32
Kepler-87 c,
K2-29 b,
Kepler-1502 b,1540.00
WASP-117 b,
Kepler-415 b,
Kepler-384 c,
Kepler-384 b,
Kepler-415 c,
Kepler-556 b,729.00
TrES-1 b,150.00
Kepler-282 d,
WASP-52 b,140.00
KELT-6 c,222.00
KELT-6 b,222.00
Kepler-1326 b,910.00
Kepler-1424 b,620.00
Kepler-329 c,
Kepler-16 b,61.00
HIP 65426 b,111.40
Kepler-780 b,520.00
Kepler-1604 b,562.00
PH2 b,
HD 215152 e,21.63
HD 215152 d,21.63
HD 215152 c,21.63
HD 215152 b,21.63
Kepler-1618 b,1238.00
Kepler-1293 b,770.00
Kepler-20 g,290.00
Kepler-289 c,700.00
Kepler-289 b,700.00
Kepler-822 b,956.00
HD 103197 b,49.33
Kepler-492 b,642.00
Kepler-1286 b,1150.00
K2-75 c,
K2-75 b,
Kepler-1144 b,1012.00
Kepler-1228 b,547.00
WASP-23 b,
Kepler-576 b,698.00
Kepler-401 d,
Kepler-153 c,
Kepler-153 b,
Kepler-76 b,
Kepler-1361 b,404.00
HD 11755 b,231.50
HD 99706 b,130.89
HD 147379 b,10.73
Kepler-382 c,
Kepler-276 c,
Kepler-1263 b,695.00
Kepler-51 b,
HATS-5 b,257.00
Kepler-827 b,1352.00
HD 214823 b,97.47
HIP 75458 b,31.33
K2-158 b,
HD 48265 b,85.40
HD 191806 b,73.47
Kepler-1047 c,566.00
Kepler-1047 b,566.00
HD 139357 b,121.36
Kepler-92 b,
Kepler-92 c,
HD 9174 b,78.93
Kapteyn c,3.92
OGLE-2012-BLG-0950L b,3000.00
K2-19 c,
K2-19 b,
HAT-P-67 b,320.00
K2-19 d,
Kepler-320 c,
Kepler-320 b,
GJ 436 b,10.23
Kepler-646 b,513.00
Kepler-835 b,2011.00
nu Oph c,46.84
Kepler-104 d,
Kepler-104 c,
Kepler-104 b,
Kepler-495 b,630.00
Kepler-95 b,
Kepler-442 b,342.00
Kepler-1113 b,1127.00
Kepler-287 c,
Kepler-1087 b,354.00
HD 104985 b,102.04
Kepler-1288 b,715.00
Kepler-687 b,628.00
Kepler-1535 b,879.00
Kepler-1035 b,408.00
Kepler-582 b,751.00
Kepler-417 b,
GJ 179 b,12.12
Kepler-159 c,
Kepler-159 b,
Kepler-749 b,753.00
HD 32518 b,117.37
Kepler-1377 b,1019.00
HD 183263 b,52.83
HD 183263 c,52.83
Kepler-875 b,1244.00
HD 111591 b,108.46
Kepler-704 b,1054.00
Kepler-1183 b,1378.00
Kepler-182 c,
Kepler-182 b,
Kepler-377 c,
Kepler-377 b,
Kepler-215 d,
Kepler-215 e,
Kepler-215 b,
Kepler-215 c,
Kepler-788 b,1649.00
Kepler-1625 b,1213.00
Kepler-691 b,239.00
Kepler-67 b,1107.00
Kepler-1245 c,861.00
Kepler-1245 b,861.00
Kepler-803 b,615.00
Kepler-338 b,
Kepler-434 b,1240.00
Kepler-397 c,
Kepler-397 b,
Kepler-1161 b,428.00
Kepler-982 b,702.00
Kepler-941 b,1105.00
HD 5583 b,221.00
Kepler-614 b,571.00
Kepler-263 c,
Kepler-263 b,
HD 5608 b,58.17
Kepler-1067 b,689.00
Kepler-1344 b,851.00
Kepler-1254 c,676.00
Kepler-1254 b,676.00
K2-129 b,
Kepler-1254 d,676.00
Kepler-1391 b,721.00
Kepler-231 b,
Kepler-231 c,
Kepler-361 b,
Kepler-361 c,
Kepler-22 b,190.00
Kepler-1202 b,1393.00
Kepler-663 b,1030.00
Kepler-1138 b,1101.00
HD 4313 b,131.41
Kepler-586 b,707.00
HIP 65407 b,55.50
HIP 65407 c,55.50
Kepler-47 c,1500.00
Kepler-1634 b,654.00
Kepler-1184 b,1193.00
KELT-14 b,266.00
Kepler-1577 b,543.00
K2-174 b,
Kepler-900 b,505.00
K2-220 b,
Kepler-220 e,
Kepler-220 b,
Kepler-220 c,
Kepler-257 b,
Kepler-603 c,967.00
Kepler-1414 b,534.00
Kepler-603 b,967.00
Kepler-1059 b,673.00
HIP 41378 d,116.14
HIP 41378 f,116.14
HIP 41378 c,116.14
HIP 41378 b,116.14
WASP-82 b,200.00
K2-54 b,
Kepler-97 b,
Kepler-257 c,
Kepler-647 b,789.00
WASP-97 b,
Kepler-60 c,
Kepler-1506 b,1318.00
Kepler-209 c,
Kepler-209 b,
Kepler-399 c,
Kepler-399 b,
Kepler-60 d,
Kepler-858 b,296.00
Kepler-948 b,884.00
K2-123 b,156.00
Kepler-1550 b,1202.00
Kepler-1397 b,770.00
Kepler-591 b,793.00
HD 171238 b,44.05
HD 45364 b,32.58
HD 45364 c,32.58
HD 219828 c,77.90
HD 221287 b,52.88
Kepler-1484 b,1095.00
MOA-2010-BLG-477L b,2300.00
Kepler-238 c,
Kepler-1470 b,569.00
Kepler-238 e,
Kepler-238 d,
Kepler-738 b,992.00
Kepler-1629 b,390.00
K2-62 c,
K2-62 b,
Kepler-871 b,1695.00
Kepler-376 c,
Kepler-79 c,
HD 14067 b,163.40
Kepler-938 b,861.00
OGLE-2011-BLG-0265L b,4380.00
HD 103774 b,53.08
Kepler-32 e,303.00
LHS 1140 b,12.47
K2-199 c,
K2-199 b,
Kepler-1456 b,379.00
WASP-49 b,170.00
Kepler-1403 b,1801.00
Kepler-318 b,
Kepler-318 c,
Kepler-794 b,763.00
Kepler-334 d,
bet UMi b,38.78
KELT-8 b,236.00
Kepler-1364 b,1149.00
91 Aqr b,45.52
WTS-1 b,3200.00
Kepler-962 b,439.00
HAT-P-2 b,135.32
HD 7199 b,35.88
Kepler-202 b,
Kepler-202 c,
XO-1 b,172.00
Kepler-1557 b,1532.00
HATS-52 b,631.00
XO-2 S c,148.00
HD 167042 b,50.00
Kepler-220 d,
NGC 2682 Sand 364 b,
Kepler-342 e,
Kepler-342 d,
Kepler-342 c,
Kepler-342 b,
WASP-123 b,214.00
Kepler-620 b,1241.00
Kepler-1223 b,455.00
Kepler-1130 b,234.00
Kepler-421 b,320.00
Kepler-884 b,420.00
Kepler-675 b,651.00
Kepler-1294 b,1120.00
Kepler-1479 b,619.00
Kepler-121 b,
Kepler-121 c,
Kepler-1171 b,615.00
Kepler-927 b,879.00
Kepler-720 b,880.00
OGLE-2012-BLG-0026L c,4019.00
K2-205 b,
Kepler-669 b,1778.00
HD 41004 A b,43.03
MOA-2012-BLG-006L b,5300.00
HD 18742 b,127.88
K2-28 b,
Kepler-1304 b,682.00
Kepler-413 b,
K2-104 b,
Kepler-307 b,
K2-151 b,62.70
Kepler-385 b,
Kepler-385 c,
HD 27894 b,42.37
HD 27894 c,42.37
HD 27894 d,42.37
Kepler-1278 b,743.00
BD+20 594 b,
KELT-7 b,129.00
HD 188015 b,52.63
Kepler-1182 b,1258.00
Kepler-211 c,
HD 147873 c,104.93
HD 147873 b,104.93
Kepler-17 b,800.00
Kepler-772 b,689.00
WASP-94 A b,180.00
Kepler-1229 b,236.00
Kepler-1354 b,1057.00
K2-72 d,
K2-72 e,
Kepler-288 b,
Kepler-288 c,
Kepler-288 d,
Kepler-191 c,
K2-72 b,
K2-72 c,
HD 233604 b,
Kepler-893 b,1216.00
MOA-2008-BLG-310L b,7700.00
Kepler-113 c,
Kepler-113 b,
K2-218 b,
Kepler-1143 b,632.00
Kepler-1143 c,632.00
Kepler-191 d,
HD 4203 b,77.82
HD 4203 c,77.82
Kepler-152 b,
Kepler-152 c,
Kepler-241 c,
Kepler-241 b,
Kepler-493 b,1942.00
Kepler-507 b,410.00
Kepler-740 b,1262.00
GJ 9827 b,30.30
GJ 9827 c,30.30
GJ 9827 d,30.30
Kepler-1044 b,1507.00
11 UMi b,119.47
K2-102 b,
Kepler-1512 b,162.00
Kepler-93 b,
Kepler-383 b,
Kepler-383 c,
KOI-217 b,800.00
Kepler-1260 b,1041.00
Kepler-77 b,570.00
HD 3167 b,45.80
HD 3167 c,45.80
HD 3167 d,45.80
NGC 4349 127 b,2200.00
Kepler-862 b,806.00
Kepler-765 b,1000.00
TYC 1422-614-1 b,759.00
Kepler-105 b,
Kepler-105 c,
Kepler-1448 b,786.00
WASP-18 b,105.49
K2-173 b,
KELT-17 b,210.00
K2-152 b,112.00
Kepler-1574 b,1275.00
Kepler-60 b,
Kepler-321 b,
Kepler-321 c,
Kepler-411 b,
Kepler-645 b,901.00
Kepler-539 c,313.00
Kepler-1289 b,1059.00
HD 5891 b,150.60
Kepler-250 d,
4 UMa b,77.40
K2-7 b,
KOI-94 c,
KOI-94 b,
WASP-103 b,470.00
KOI-94 e,
KOI-94 d,
HD 29021 b,30.60
Kepler-652 b,423.00
WASP-58 b,300.00
Kepler-29 c,1400.00
Kepler-1378 b,562.00
Kepler-368 c,
HD 13931 b,45.52
Kepler-876 b,735.00
Kepler-1532 b,824.00
HD 109246 b,65.60
Kepler-583 b,805.00
Kepler-1034 b,706.00
K2-136 b,
K2-136 c,
Kepler-445 d,90.00
Kepler-1114 b,427.00
Kepler-445 b,90.00
K2-136 d,
HD 63454 b,35.80
Kepler-1369 b,1236.00
Kepler-91 b,1030.00
Kepler-376 b,
Kepler-1437 b,1182.00
Kepler-45 b,333.00
Kepler-216 c,
GJ 3998 b,17.79
HD 113996 b,101.63
BD+49 828 b,
Kepler-36 b,470.00
K2-229 c,104.00
K2-229 b,104.00
Kepler-688 b,1247.00
Kepler-158 b,
Kepler-158 c,
Kepler-183 b,
Kepler-183 c,
Kepler-1160 b,1293.00
Kepler-524 c,730.00
Kepler-524 b,730.00
Kepler-643 b,1029.00
Kepler-784 b,604.00
Kepler-66 b,1107.00
K2-117 c,100.00
K2-117 b,100.00
Kepler-396 b,
Kepler-396 c,
HATS-13 b,476.00
K2-22 b,
Kepler-1347 b,321.00
Kepler-1253 b,390.00
Kepler-431 b,
Kepler-584 b,1445.00
Kepler-821 b,619.00
Kepler-960 b,298.00
Kepler-942 b,218.00
Kepler-802 b,828.00
Kepler-55 d,
Kepler-996 b,1098.00
HD 148427 b,59.28
HD 47536 b,121.36
SWEEPS-4 b,8500.00
Kepler-55 c,
Kepler-1060 b,861.00
Kepler-684 b,1066.00
HD 33564 b,20.98
HD 219828 b,77.90
Kepler-21 b,113.00
Kepler-236 b,
Kepler-362 c,
Kepler-362 b,
Kepler-173 c,
BD+03 2562 b,2618.00
OGLE-2017-BLG-0373L b,5915.00
Kepler-602 b,971.00
Kepler-843 b,1247.00
Kepler-1417 b,656.00
Kepler-540 b,350.00
Kepler-783 b,544.00
K2-49 b,
Kepler-1637 b,506.00
Kepler-1203 b,269.00
Kepler-485 b,1173.00
Kepler-223 e,
Kepler-223 d,
BD+14 4559 b,50.03
WASP-77 A b,93.00
Kepler-223 c,
Kepler-1129 c,1258.00
Kepler-1505 b,359.00
Kepler-208 c,
Kepler-208 d,
Kepler-208 e,
HD 8673 b,38.26
HD 208487 b,44.00
Kepler-1058 b,525.00
Kepler-1355 b,963.00
Kepler-238 b,
HD 66141 b,80.06
Kepler-1307 b,1396.00
K2-119 b,
Kepler-125 c,
Kepler-766 b,1614.00
NGC 2682 YBP 1514 b,
Kepler-631 b,843.00
K2-124 b,
Kepler-859 b,915.00
Kepler-238 f,
Kepler-1349 b,260.00
Kepler-1028 b,633.00
Kepler-169 d,
Kepler-169 e,
Kepler-169 f,
CoRoT-12 b,1150.00
HD 95872 b,7.56
Kepler-169 b,
Kepler-169 c,
K2-65 b,78.06
Kepler-845 b,471.00
Kepler-239 b,
Kepler-239 c,
Kepler-1477 b,525.00
Kepler-37 c,66.00
Kepler-1551 b,1560.00
HD 128356 b,26.03
Kepler-1019 b,198.00
Kepler-1238 b,1533.00
HD 141937 b,33.46
Kepler-37 d,66.00
Kepler-431 d,
Kepler-666 b,1330.00
Kepler-1095 b,758.00
HD 10697 b,32.60
51 Eri b,29.40
Kepler-1626 b,1718.00
Kepler-1069 b,435.00
Kepler-667 b,907.00
K2-52 b,
K2-198 b,
HD 149026 b,78.86
PSR B1257+12 b,600.00
PSR B1257+12 c,600.00
Kepler-1590 b,900.00
WASP-48 b,
Kepler-1400 b,879.00
Kepler-201 c,
Kepler-201 b,
Kepler-979 b,606.00
Kepler-760 c,782.00
Kepler-760 b,782.00
Kepler-226 b,
Kepler-588 b,972.00
OGLE-TR-056 b,
Kepler-1261 b,795.00
Kepler-411 c,
Kepler-372 b,
Kepler-963 b,786.00
HAT-P-3 b,138.00
Kepler-761 b,867.00
Kepler-1220 b,958.00
Kepler-1131 b,1109.00
Kepler-887 c,831.00
Kepler-607 b,500.00
WASP-25 b,
WASP-92 b,530.00
KOI-142 b,339.00
KOI-142 c,339.00
WASP-33 b,116.14
Kepler-343 b,
Kepler-343 c,
HD 96167 b,84.03
K2-204 b,
Kepler-370 b,
Kepler-668 b,877.00
Kepler-797 b,752.00
HD 4208 b,32.70
Kepler-1478 b,1405.00
Kepler-1558 b,343.00
HATS-51 b,478.00
Kepler-1642 c,447.00
HD 102956 b,121.07
Kepler-721 b,848.00
Kepler-924 b,995.00
EPIC 211822797 b,
WASP-24 b,
WASP-42 b,160.00
Kepler-548 b,776.00
HD 74156 c,64.60
HD 41004 B b,43.03
Kepler-554 b,642.00
WASP-93 b,250.00
K2-187 b,
K2-187 c,
Kepler-126 d,
Kepler-126 c,
Kepler-126 b,
K2-187 d,
K2-187 e,
HD 222582 b,41.95
Kepler-304 d,
HD 113538 b,15.90
HD 113538 c,15.90
K2-150 b,110.00
Kepler-931 b,490.00
Kepler-304 c,
Kepler-304 b,
Kepler-14 b,980.00
Kepler-1426 b,1211.00
KELT-11 b,98.00
Kepler-1242 b,682.00
Kepler-1630 b,278.00
8 UMi b,159.10
Kepler-639 b,680.00
Kepler-786 b,512.00
HD 224693 b,94.07
Kepler-1268 b,1406.00
WASP-80 b,60.00
HD 102365 b,9.24
Kepler-1181 b,867.00
K2-8 b,
K2-8 c,
K2-219 b,
K2-219 c,
K2-219 d,
30 Ari B b,39.43
K2-73 b,
HIP 78530 b,156.70
HD 196885 b,32.99
Kepler-1567 b,1226.00
Kepler-1597 b,1255.00
Kepler-187 b,
Kepler-425 b,650.00
WASP-98 b,
Kepler-890 b,1387.00
Kepler-1082 b,628.00
Kepler-359 c,
K2-148 c,121.00
K2-148 b,121.00
K2-148 d,121.00
Kepler-359 b,
Kepler-922 b,558.00
Kepler-820 b,989.00
OGLE-2015-BLG-0966L b,2500.00
Kepler-741 b,1530.00
Kepler-490 b,1249.00
Kepler-500 b,747.00
Kepler-861 b,806.00
Kepler-275 d,
Kepler-1529 b,683.00
Kepler-594 b,742.00
Kepler-1045 b,971.00
Kepler-1513 b,384.00
Kepler-1103 b,921.00
Kepler-403 d,
Kepler-1097 b,738.00
Kepler-151 c,
Kepler-151 b,
Kepler-836 b,1003.00
Kepler-160 c,
Kepler-1367 b,357.00
KELT-3 b,178.00
Kepler-322 c,
Kepler-322 b,
Kepler-644 b,1413.00
Kepler-1572 b,600.00
Kepler-106 e,
Kepler-106 d,
Kepler-699 b,888.00
Kepler-106 c,
Kepler-106 b,
WASP-71 b,345.00
Kepler-1636 b,1567.00
K2-172 b,
K2-172 c,
KELT-16 b,395.26
Kepler-1575 b,1170.00
Kepler-913 b,597.00
Kepler-538 b,165.00
Kepler-685 b,1145.00
Kepler-1259 b,704.00
Kepler-1449 b,1321.00
WASP-26 b,250.00
HD 202206 c,45.50
WASP-38 b,110.00
Kepler-69 c,
Kepler-1379 b,951.00
GJ 317 b,15.10
Kepler-955 b,637.00
Kepler-369 b,
Kepler-369 c,
Kepler-877 b,572.00
HATS-26 b,907.00
WASP-104 b,143.00
Kepler-829 b,954.00
Kepler-1077 b,1098.00
Kepler-1451 b,1159.00
Kepler-444 d,35.70
Kepler-444 e,35.70
Kepler-444 b,35.70
Kepler-1115 b,935.00
Kepler-1488 b,618.00
Kepler-1085 b,1518.00
Kepler-157 c,
Kepler-157 b,
BD+48 740 b,751.87
Kepler-184 c,
HD 40979 b,33.30
Kepler-157 d,
Kepler-217 d,
Kepler-225 b,
Kepler-375 c,
Kepler-305 c,
Kepler-443 b,779.00
Kepler-217 b,
Kepler-217 c,
CoRoT-8 b,380.00
Kepler-1283 b,1452.00
UZ For c,
Kepler-1496 b,1293.00
CoRoT-25 b,1000.00
HAT-P-26 b,134.00
Kepler-1109 b,797.00
Kepler-1368 b,1750.00
Kepler-1301 b,816.00
GJ 3323 c,5.32
GJ 3323 b,5.32
Kepler-1163 b,487.00
Kepler-959 b,1003.00
Kepler-984 b,461.00
HD 88133 b,74.46
K2-169 b,
Kepler-135 b,
OGLE-2014-BLG-0124L b,4100.00
K2-116 b,56.15
HD 67087 c,88.81
Kepler-53 c,
Kepler-1061 b,585.00
Kepler-932 b,478.00
Kepler-1346 b,1123.00
Kepler-1252 b,828.00
Kepler-642 b,1022.00
YZ Cet d,3.60
Kepler-1336 b,822.00
Kepler-1336 c,822.00
Kepler-693 b,1002.00
Kepler-908 b,250.00
K2-12 b,
Kepler-805 b,657.00
Kepler-995 b,659.00
Kepler-190 c,
Kepler-842 b,552.00
Kepler-601 b,429.00
K2-133 d,
K2-133 c,
HD 37605 b,42.88
Kepler-453 b,
Kepler-1120 b,635.00
HD 170469 b,64.98
Kepler-172 b,
Kepler-172 c,
HD 220773 b,49.00
Kepler-172 e,
Kepler-222 d,
HD 190984 b,189.39
HD 4732 b,56.50
K2-48 b,
Kepler-222 b,
Kepler-222 c,
Kepler-1406 b,587.00
Kepler-127 b,
HD 195019 b,37.35
2MASS J04414489+2301513 b,140.00
Kepler-1020 b,446.00
Kepler-20 f,290.00
Kepler-20 e,290.00
Kepler-20 d,290.00
Kepler-20 c,290.00
Kepler-20 b,290.00
Kepler-363 b,
Kepler-363 c,
Kepler-577 b,549.00
Kepler-1204 b,1282.00
K2-118 b,
Kepler-870 b,1231.00
Kepler-767 b,1185.00
Kepler-711 b,664.00
Kepler-1504 b,1029.00
HD 20868 b,48.90
WASP-69 b,50.00
Kepler-856 b,1175.00
Kepler-549 b,648.00
Kepler-549 c,648.00
K2-32 b,
K2-32 c,
K2-32 d,
Kepler-1316 b,753.00
HD 133131 B b,47.00
HD 168746 b,43.12
Kepler-1306 b,1130.00
Kepler-710 b,919.00
CoRoT-13 b,1060.00
Kepler-128 b,
Kepler-1068 b,1532.00
HD 38801 b,99.40
Kepler-1012 b,420.00
HD 215497 c,43.53
HD 215497 b,43.53
MOA-2011-BLG-293L b,7720.00
HIP 70849 b,23.98
Kepler-5 b,
Kepler-1573 b,1180.00
HD 89744 b,39.00
Kepler-278 c,
Kepler-278 b,
Kepler-1548 b,1150.00
Kepler-840 b,778.00
Kepler-661 b,558.00
Kepler-38 b,600.00
CFBDSIR J145829+101343 b,23.10
Kepler-410 A b,132.00
WASP-54 b,200.00
Kepler-1552 b,618.00
HD 218566 b,29.94
Kepler-1018 b,894.00
HD 163607 b,69.44
HD 163607 c,69.44
Kepler-1591 b,1090.00
Kepler-1401 b,1242.00
Kepler-302 c,
Kepler-302 b,
Kepler-529 c,787.00
K2-53 b,
Kepler-844 b,394.00
Kepler-29 b,1400.00
Kepler-1388 e,492.00
OGLE-2017-BLG-1522L b,
HD 192310 b,8.82
Kepler-736 b,1007.00
Kepler-1627 b,311.00
Kepler-781 b,1036.00
HAT-P-4 b,314.00
Kepler-1442 b,525.00
Kepler-1360 b,1405.00
KOI-12 b,426.00
Kepler-200 b,
Kepler-200 c,
Kepler-1428 b,802.00
Kepler-1090 b,702.00
HD 206610 b,170.07
Kepler-1528 b,916.00
Kepler-1042 b,659.00
Kepler-593 b,1016.00
WASP-121 b,270.00
Kepler-340 c,
Kepler-340 b,
Kepler-896 b,896.00
Kepler-622 b,259.00
Kepler-1221 b,909.00
Kepler-1136 b,545.00
Kepler-427 b,1100.00
Kepler-886 b,857.00
GJ 3634 b,19.80
Kepler-1273 b,1355.00
OGLE-TR-211 b,
Kepler-796 b,377.00
Kepler-854 b,741.00
Kepler-1569 b,1050.00
K2-10 b,
Kepler-1439 b,215.00
Kepler-94 b,
Kepler-1655 b,230.59
Kepler-722 b,1375.00
K2-207 b,
HD 189733 b,19.25
Kepler-1007 b,365.00
Kepler-37 b,66.00
FU Tau b,140.00
Kepler-1559 b,580.00
HATS-50 b,717.00
K2-79 b,
Kepler-305 d,
Kepler-1598 b,734.00
xi Aql b,62.66
Kepler-305 b,
K2-153 b,126.00
WASP-45 b,
OGLE-2016-BLG-0263L b,6500.00
Kepler-249 d,
Kepler-1492 b,371.00
Kepler-249 c,
Kepler-132 e,
Kepler-517 b,284.00
Kepler-127 d,
K2-184 b,
Kepler-1099 b,1209.00
Kepler-127 c,
Kepler-80 b,357.00
HIP 74890 b,91.49
Kepler-1180 b,1284.00
Kepler-15 b,
Kepler-1427 b,1220.00
KELT-10 b,183.00
Kepler-1521 b,227.00
Kepler-224 c,
Kepler-374 b,
Kepler-374 c,
Kepler-374 d,
Kepler-224 d,
Kepler-224 e,
Kepler-1213 b,685.00
Kepler-132 c,
Kepler-1269 b,710.00
Kepler-891 b,1372.00
WASP-99 b,
Kepler-111 c,
Kepler-111 b,
WASP-22 b,300.00
Kepler-1141 b,365.00
Kepler-1607 b,735.00
KELT-1 b,262.00
Kepler-527 b,901.00
Kepler-1566 b,511.00
61 Vir b,8.52
61 Vir c,8.52
61 Vir d,8.52
Kepler-746 b,450.00
Kepler-1083 b,912.00
K2-149 b,118.00
HD 23127 b,89.13
K2-216 b,
TYC 1422-614-1 c,759.00
Kepler-988 b,248.00
K2-70 b,
Kepler-54 c,
Kepler-520 b,492.00
KPS-1 b,
HD 180902 b,114.55
LkCa 15 c,
Kepler-860 b,1295.00
Kepler-555 b,772.00
Kepler-85 e,
HAT-P-20 b,70.00
Kepler-923 b,966.00
HATS-35 b,557.00
Kepler-234 c,
Kepler-80 f,357.00
WASP-113 b,360.00
Kepler-150 d,927.00
Kepler-1102 b,986.00
Kepler-150 f,927.00
Kepler-1096 b,344.00
Kepler-454 c,
Kepler-150 b,927.00
Kepler-150 c,927.00
Kepler-1639 b,1168.00
HD 100546 b,97.00
Kepler-1189 b,883.00
K2-171 b,
YZ Cet b,3.60
Kepler-323 b,
Kepler-1610 b,1063.00
Kepler-491 b,657.00
Kepler-654 b,661.00
Kepler-1407 b,1275.00
Kepler-1384 b,618.00
HD 154672 b,64.77
Kepler-416 b,
Kepler-501 b,1044.00
WASP-72 b,340.00
K2-55 b,
Kepler-18 b,
Kepler-993 b,298.00
Kepler-1457 b,728.00
Kepler-107 d,
Kepler-107 e,
Kepler-107 b,
Kepler-107 c,
Kepler-289 d,700.00
WASP-20 b,210.00
Kepler-1338 b,619.00
eps CrB b,70.42
Kepler-307 c,
Kepler-1076 b,199.00
Kepler-168 c,
MOA-2009-BLG-387L b,5690.00
Kepler-1116 b,1017.00
Kepler-1489 b,870.00
Kepler-719 b,1427.00
GJ 504 b,17.95
HD 32963 b,35.24
HD 72659 b,51.40
Kepler-295 d,
Kepler-726 b,838.00
Kepler-295 b,
Kepler-295 c,
