loc_rowid	pl_hostname	pl_discmethod	pl_pnum	pl_orbper	pl_orbpererr1	pl_orbpererr2	pl_orbperlim	st_dist	st_disterr1	st_disterr2	st_distlim	pl_facility
781	K2-107	Transit	1	3.31392000	0.00002000	-0.00002000	0					K2
782	K2-108	Transit	1	4.73401000	0.00024000	-0.00024000	0					K2
783	K2-11	Transit	1	39.93767000	0.23229000	-0.23229000	0					K2
784	K2-110	Transit	1	13.86375000	0.00026000	-0.00026000	0					K2
785	K2-111	Transit	1	5.35117000	0.00055000	-0.00055000	0					K2
786	K2-113	Transit	1	5.81760800	0.00003100	-0.00002900	0					K2
787	K2-114	Transit	1	11.39109000	0.00018000	-0.00017000	0					K2
788	K2-115	Transit	1	20.27303400	0.00003600	-0.00003700	0					K2
789	K2-116	Transit	1	4.65541100	0.00048600	-0.00047300	0	56.15	6.62	-8.66	0	K2
790	K2-117	Transit	2	1.29150500	0.00004000	-0.00004000	0	100.00	14.00	-14.00	0	K2
791	K2-117	Transit	2	5.44482000	0.00039700	-0.00041700	0	100.00	14.00	-14.00	0	K2
792	K2-118	Transit	1	50.92092000	0.00558400	-0.00524900	0					K2
793	K2-119	Transit	1	7.72857800	0.00073000	-0.00070400	0					K2
794	K2-12	Transit	1	8.28212000	0.00060000	-0.00060000	0					K2
795	K2-120	Transit	1	9.56274200	0.00067500	-0.00067300	0					K2
796	K2-121	Transit	1	5.18575400	0.00019500	-0.00020100	0					K2
797	K2-122	Transit	1	2.21940500	0.00007100	-0.00006900	0	74.00	11.00	-11.00	0	K2
798	K2-123	Transit	1	30.95676300	0.00258900	-0.00272000	0	156.00	24.00	-24.00	0	K2
799	K2-124	Transit	1	6.41353900	0.00025200	-0.00025800	0					K2
800	K2-125	Transit	1	21.75026400	0.00199000	-0.00195700	0					K2
801	K2-126	Transit	1	7.38707300	0.00025400	-0.00025300	0					K2
802	K2-127	Transit	1	3.58816500	0.00001500	-0.00001600	0					K2
803	K2-128	Transit	1	5.67581900	0.00041100	-0.00041400	0					K2
804	K2-129	Transit	1	8.23949300	0.00029200	-0.00029100	0					K2
805	K2-13	Transit	1	39.91488000	0.32477000	-0.32477000	0					K2
806	K2-130	Transit	1	2.49412000	0.00013200	-0.00012800	0					K2
807	K2-131	Transit	1	0.36930380	0.00000910	-0.00000910	0					K2
808	K2-132	Transit	1	9.17510000	0.00230000	-0.00270000	0					K2
809	K2-133	Transit	3	3.07120000	0.00010000	-0.00010000	0					K2
810	K2-133	Transit	3	4.86820000	0.00010000	-0.00030000	0					K2
811	K2-133	Transit	3	11.02340000	0.00080000	-0.00030000	0					K2
812	K2-136	Transit	3	7.97529200	0.00083300	-0.00077000	0					K2
813	K2-136	Transit	3	17.30713700	0.00025200	-0.00028400	0					K2
814	K2-136	Transit	3	25.57506500	0.00241800	-0.00235700	0					K2
815	K2-137	Transit	1	0.17971500	0.00000100	-0.00000100	0					K2
816	K2-138	Transit	5	2.35322000	0.00036000	-0.00036000	0	183.00	17.00	-17.00	0	K2
817	K2-138	Transit	5	3.55987000	0.00023000	-0.00022000	0	183.00	17.00	-17.00	0	K2
818	K2-138	Transit	5	5.40478000	0.00048000	-0.00046000	0	183.00	17.00	-17.00	0	K2
819	K2-138	Transit	5	8.26144000	0.00045000	-0.00044000	0	183.00	17.00	-17.00	0	K2
820	K2-138	Transit	5	12.75759000	0.00092000	-0.00092000	0	183.00	17.00	-17.00	0	K2
821	K2-139	Transit	1	28.38236000	0.00026000	-0.00026000	0	152.00	10.00	-10.00	0	K2
822	K2-14	Transit	1	8.36802000	0.00019000	-0.00019000	0					K2
823	K2-140	Transit	1	6.56930000	0.00001700	-0.00002000	0	340.24	11.58	-11.58	0	K2
824	K2-141	Transit	2	0.28032440	0.00000150	-0.00000150	0	58.77	2.81	-2.81	0	K2
825	K2-141	Transit	2	7.74850000	0.00022000	-0.00022000	0	58.77	2.81	-2.81	0	K2
826	K2-146	Transit	1	2.64464600	0.00004300	-0.00004300	0	86.00	11.00	-11.00	0	K2
827	K2-147	Transit	1	0.96191700	0.00002600	-0.00002600	0	88.00	13.00	-13.00	0	K2
828	K2-148	Transit	3	4.38395000	0.00080000	-0.00080000	0	121.00	19.00	-19.00	0	K2
829	K2-148	Transit	3	6.92260000	0.00070000	-0.00070000	0	121.00	19.00	-19.00	0	K2
830	K2-148	Transit	3	9.75790000	0.00100000	-0.00100000	0	121.00	19.00	-19.00	0	K2
831	K2-149	Transit	1	11.33200000	0.00130000	-0.00130000	0	118.00	18.00	-18.00	0	K2
832	K2-15	Transit	1	11.81040000	0.00204000	-0.00204000	0					K2
833	K2-150	Transit	1	10.59357000	0.00084000	-0.00084000	0	110.00	15.00	-15.00	0	K2
834	K2-151	Transit	1	3.83559200	0.00002300	-0.00002300	0	62.70	8.80	-8.80	0	K2
835	K2-152	Transit	1	32.65270000	0.00350000	-0.00350000	0	112.00	18.00	-18.00	0	K2
836	K2-153	Transit	1	7.51554000	0.00098000	-0.00098000	0	126.00	18.00	-18.00	0	K2
837	K2-154	Transit	2	3.67635000	0.00017000	-0.00017000	0	133.00	21.00	-21.00	0	K2
838	K2-154	Transit	2	7.95478000	0.00063000	-0.00063000	0	133.00	21.00	-21.00	0	K2
839	K2-155	Transit	3	6.34200000	0.00200000	-0.00200000	0	82.00	29.00	-12.00	0	K2
840	K2-155	Transit	3	13.85000000	0.00600000	-0.00600000	0	82.00	29.00	-12.00	0	K2
841	K2-155	Transit	3	40.71800000	0.00500000	-0.00500000	0	82.00	29.00	-12.00	0	K2
842	K2-156	Transit	1	0.81314900	0.00005000	-0.00004900	0					K2
843	K2-157	Transit	1	0.36525700	0.00002900	-0.00002900	0					K2
844	K2-158	Transit	1	10.06210600	0.00227000	-0.00222800	0					K2
845	K2-159	Transit	1	12.42107800	0.00104900	-0.00100100	0					K2
846	K2-16	Transit	2	7.61880000	0.00087000	-0.00087000	0					K2
847	K2-16	Transit	2	19.07863000	0.00327000	-0.00327000	0					K2
848	K2-160	Transit	1	3.70587100	0.00007400	-0.00007600	0					K2
849	K2-161	Transit	1	9.28318800	0.00205200	-0.00230000	0					K2
850	K2-162	Transit	1	9.45774700	0.00140100	-0.00139200	0					K2
851	K2-163	Transit	1	6.67311700	0.00031600	-0.00030300	0					K2
852	K2-164	Transit	1	17.35506600	0.00409700	-0.00380800	0					K2
853	K2-165	Transit	3	2.35499200	0.00024600	-0.00026100	0					K2
854	K2-165	Transit	3	4.38274500	0.00051400	-0.00053600	0					K2
855	K2-165	Transit	3	14.10136100	0.00114600	-0.00106500	0					K2
856	K2-166	Transit	1	8.52721900	0.00198500	-0.00199600	0					K2
857	K2-167	Transit	1	9.97748100	0.00103900	-0.00100700	0	78.12	6.39	-7.64	0	K2
858	K2-168	Transit	1	15.85398900	0.00141500	-0.00138400	0					K2
859	K2-169	Transit	1	6.38080300	0.00077800	-0.00069900	0					K2
860	K2-17	Transit	1	17.96753000	0.00152000	-0.00152000	0					K2
861	K2-170	Transit	2	7.57654400	0.00184100	-0.00169000	0					K2
862	K2-170	Transit	2	12.40004700	0.00173500	-0.00188300	0					K2
863	K2-171	Transit	1	5.62846600	0.00173100	-0.00151900	0					K2
864	K2-172	Transit	2	14.31694100	0.00144500	-0.00141100	0					K2
865	K2-172	Transit	2	29.62682000	0.00155500	-0.00160700	0					K2
866	K2-173	Transit	1	5.86869900	0.00044600	-0.00040800	0					K2
867	K2-174	Transit	1	19.56274300	0.00075500	-0.00072600	0					K2
868	K2-175	Transit	1	9.52598800	0.00124100	-0.00128000	0					K2
869	K2-176	Transit	1	5.32943900	0.00061000	-0.00070900	0					K2
870	K2-177	Transit	1	14.15518500	0.00315000	-0.00296500	0					K2
871	K2-178	Transit	1	8.74781800	0.00036300	-0.00035800	0					K2
872	K2-179	Transit	1	5.17219100	0.00020100	-0.00020200	0					K2
873	K2-18	Transit	2	32.93963000	0.00010000	-0.00010000	0	34.00	4.00	-4.00	0	K2
874	K2-18	Radial Velocity	2	8.96200000	0.00800000	-0.00800000	0	34.00	4.00	-4.00	0	La Silla Observatory
875	K2-180	Transit	1	8.86593200	0.00032200	-0.00032600	0					K2
876	K2-181	Transit	1	6.89425200	0.00043000	-0.00042600	0					K2
877	K2-182	Transit	1	4.73688400	0.00007100	-0.00007500	0					K2
878	K2-183	Transit	3	0.46926900	0.00002600	-0.00002400	0					K2
879	K2-183	Transit	3	10.79347100	0.00080300	-0.00073000	0					K2
880	K2-183	Transit	3	22.62949600	0.00175500	-0.00194900	0					K2
881	K2-184	Transit	1	16.99343500	0.00079000	-0.00077800	0					K2
882	K2-185	Transit	1	10.61664600	0.00163200	-0.00180100	0					K2
883	K2-186	Transit	1	41.47421900	0.00328800	-0.00431600	0					K2
884	K2-187	Transit	4	0.77398100	0.00005200	-0.00005000	0					K2
885	K2-187	Transit	4	2.87178800	0.00025600	-0.00025700	0					K2
886	K2-187	Transit	4	7.14907900	0.00036000	-0.00037200	0					K2
887	K2-187	Transit	4	13.60834100	0.00166100	-0.00158000	0					K2
888	K2-188	Transit	2	1.74298300	0.00025600	-0.00026000	0					K2
889	K2-188	Transit	2	7.80759500	0.00056400	-0.00059700	0					K2
890	K2-189	Transit	2	5.17630000	0.00040700	-0.00042800	0					K2
891	K2-189	Transit	2	6.67934000	0.00024500	-0.00023600	0					K2
892	K2-19	Transit	3	7.91940000	0.00005000	-0.00005000	0					K2
893	K2-19	Transit	3	11.90715000	0.00150000	-0.00150000	0					K2
894	K2-19	Transit	3	2.50856000	0.00041000	-0.00041000	0					K2
895	K2-190	Transit	2	10.09885800	0.00061900	-0.00064300	0					K2
896	K2-190	Transit	2	21.57402300	0.00573000	-0.00430200	0					K2
897	K2-191	Transit	1	2.85864600	0.00017200	-0.00017600	0					K2
898	K2-192	Transit	1	4.16322100	0.00020600	-0.00020200	0					K2
899	K2-193	Transit	1	14.78720700	0.00043000	-0.00046700	0					K2
900	K2-194	Transit	1	39.72138600	0.00570400	-0.00555500	0					K2
901	K2-195	Transit	2	15.85354300	0.00079100	-0.00075400	0					K2
902	K2-195	Transit	2	28.48278600	0.00643900	-0.00731000	0					K2
903	K2-196	Transit	1	48.32422200	0.00845700	-0.00871600	0					K2
904	K2-197	Transit	1	8.35795400	0.00028100	-0.00028400	0					K2
905	K2-198	Transit	1	17.04317900	0.00032200	-0.00030600	0					K2
906	K2-199	Transit	2	3.22542300	0.00006700	-0.00007100	0					K2
907	K2-199	Transit	2	7.37449700	0.00011800	-0.00012500	0					K2
908	K2-200	Transit	1	2.84988300	0.00018800	-0.00018000	0					K2
909	K2-201	Transit	2	1.05979000	0.00004300	-0.00004400	0					K2
910	K2-201	Transit	2	22.77987800	0.00195700	-0.00194700	0					K2
911	K2-202	Transit	1	3.40516400	0.00012600	-0.00012100	0					K2
912	K2-203	Transit	1	9.69510100	0.00128500	-0.00133400	0					K2
913	K2-204	Transit	1	7.05578400	0.00065000	-0.00064100	0					K2
914	K2-205	Transit	1	26.67226300	0.00416000	-0.00367600	0					K2
915	K2-206	Transit	1	18.29454900	0.00172800	-0.00159900	0					K2
916	K2-207	Transit	1	12.48749000	0.00120800	-0.00116200	0					K2
917	K2-208	Transit	1	4.19094800	0.00023000	-0.00024800	0					K2
918	K2-209	Transit	1	2.08061500	0.00013400	-0.00013000	0					K2
919	K2-21	Transit	2	9.32503800	0.00037900	-0.00040300	0					K2
920	K2-21	Transit	2	15.50192000	0.00091800	-0.00092800	0					K2
921	K2-210	Transit	1	0.57023300	0.00002800	-0.00002800	0					K2
922	K2-211	Transit	1	0.66955800	0.00003200	-0.00003200	0					K2
923	K2-212	Transit	1	9.79540000	0.00029100	-0.00029300	0					K2
924	K2-213	Transit	1	8.13087000	0.00177100	-0.00179900	0					K2
925	K2-214	Transit	1	8.59653100	0.00059200	-0.00052700	0					K2
926	K2-215	Transit	1	8.26964800	0.00046700	-0.00045600	0					K2
927	K2-216	Transit	1	2.17478900	0.00003900	-0.00003800	0					K2
928	K2-217	Transit	1	14.07452400	0.00099400	-0.00093800	0					K2
929	K2-218	Transit	1	8.67988500	0.00041700	-0.00043000	0					K2
930	K2-219	Transit	3	3.90128700	0.00066000	-0.00067700	0					K2
931	K2-219	Transit	3	6.66767000	0.00128300	-0.00156900	0					K2
932	K2-219	Transit	3	11.13727800	0.00080800	-0.00078600	0					K2
933	K2-22	Transit	1	0.38107800	0.00000100	-0.00000100	0					K2
934	K2-220	Transit	1	13.68251100	0.00072100	-0.00068600	0					K2
935	K2-221	Transit	1	2.39909400	0.00012500	-0.00011800	0					K2
936	K2-222	Transit	1	15.38882500	0.00099300	-0.00096300	0					K2
937	K2-223	Transit	2	0.50557000	0.00003700	-0.00003600	0					K2
938	K2-223	Transit	2	4.56416900	0.00028200	-0.00029900	0					K2
939	K2-224	Transit	1	4.47859100	0.00061300	-0.00064100	0					K2
940	K2-225	Transit	1	15.87145500	0.00211300	-0.00167000	0					K2
941	K2-226	Transit	1	3.27110600	0.00036700	-0.00036900	0					K2
942	K2-227	Transit	1	13.62183200	0.00318800	-0.00326800	0					K2
943	K2-228	Transit	1	2.69836800	0.00012800	-0.00013600	0					K2
944	K2-229	Transit	2	0.58424900	0.00001400	-0.00001400	0	104.00	4.00	-4.00	0	K2
945	K2-229	Transit	2	8.32834000	0.00045000	-0.00045000	0	104.00	4.00	-4.00	0	K2
946	K2-230	Transit	1	2.86063600	0.00030700	-0.00029200	0					K2
947	K2-231	Transit	1	13.84190100	0.00135200	-0.00135200	0	295.00	5.00	-5.00	0	K2
948	K2-232	Transit	1	11.16845400	0.00002300	-0.00002300	0	129.97	4.62	-4.62	0	K2
949	K2-233	Transit	3	2.46746000	0.00014000	-0.00014000	0	69.00	1.00	-1.00	0	K2
950	K2-233	Transit	3	7.06142000	0.00084000	-0.00084000	0	69.00	1.00	-1.00	0	K2
951	K2-233	Transit	3	24.36620000	0.00210000	-0.00210000	0	69.00	1.00	-1.00	0	K2
952	K2-24	Transit	2	20.88508000	0.00036000	-0.00036000	0					K2
953	K2-24	Transit	2	42.36342000	0.00063000	-0.00063000	0					K2
954	K2-25	Transit	1	3.48455200	0.00003100	-0.00003700	0					K2
955	K2-26	Transit	1	14.56650000	0.00160000	-0.00200000	0					K2
956	K2-27	Transit	1	6.77131500	0.00008500	-0.00008500	0					K2
957	K2-28	Transit	1	2.26045500	0.00004100	-0.00004100	0					K2
958	K2-29	Transit	1	3.25883210	0.00000190	-0.00000190	0					K2
959	K2-3	Transit	3	10.05449000	0.00026000	-0.00026000	0					K2
960	K2-3	Transit	3	24.64354000	0.00117000	-0.00117000	0					K2
961	K2-3	Transit	3	44.55983000	0.00590000	-0.00590000	0					K2
962	K2-30	Transit	1	4.09850300	0.00001100	-0.00001100	0					K2
963	K2-31	Transit	1	1.25785000	0.00000200	-0.00000200	0					K2
964	K2-32	Transit	3	8.99213000	0.00016000	-0.00016000	0					K2
965	K2-32	Transit	3	20.66020000	0.00170000	-0.00170000	0					K2
966	K2-32	Transit	3	31.71540000	0.00220000	-0.00220000	0					K2
967	K2-33	Transit	1	5.42486500	0.00003500	-0.00003100	0					K2
968	K2-34	Transit	1	2.99561000	0.00001700	-0.00001700	0					K2
969	K2-35	Transit	2	5.60835200	0.00033500	-0.00033800	0					K2
970	K2-35	Transit	2	2.39996400	0.00019800	-0.00020400	0					K2
971	K2-36	Transit	2	1.42266000	0.00005000	-0.00005000	0					K2
972	K2-36	Transit	2	5.34059000	0.00010000	-0.00010000	0					K2
973	K2-37	Transit	3	4.44117000	0.00075000	-0.00075000	0					K2
974	K2-37	Transit	3	6.42904000	0.00036000	-0.00036000	0					K2
975	K2-37	Transit	3	14.09189000	0.00135000	-0.00135000	0					K2
976	K2-38	Transit	2	4.01593000	0.00050000	-0.00050000	0					K2
977	K2-38	Transit	2	10.56103000	0.00090000	-0.00090000	0					K2
978	K2-39	Transit	1	4.60543000	0.00046000	-0.00046000	0					K2
979	K2-4	Transit	1	10.00341700	0.00101700	-0.00099600	0					K2
980	K2-42	Transit	1	6.68796000	0.00093000	-0.00093000	0					K2
981	K2-43	Transit	1	3.47134100	0.00016300	-0.00016100	0					K2
982	K2-44	Transit	1	5.65688000	0.00059000	-0.00059000	0					K2
983	K2-45	Transit	1	1.72926840	0.00000690	-0.00000690	0					K2
984	K2-46	Transit	1	19.15410000	0.00410000	-0.00410000	0					K2
985	K2-47	Transit	1	31.63720000	0.00880000	-0.00880000	0					K2
986	K2-48	Transit	1	20.50650000	0.00350000	-0.00350000	0					K2
987	K2-49	Transit	1	2.77065000	0.00015000	-0.00015000	0					K2
988	K2-5	Transit	2	5.73594000	0.00064000	-0.00064000	0					K2
989	K2-5	Transit	2	10.93241000	0.00134000	-0.00134000	0					K2
990	K2-50	Transit	1	8.75290000	0.00130000	-0.00130000	0					K2
991	K2-52	Transit	1	3.53482000	0.00019000	-0.00019000	0					K2
992	K2-53	Transit	1	12.20540000	0.00180000	-0.00180000	0					K2
993	K2-54	Transit	1	9.78430000	0.00140000	-0.00140000	0					K2
994	K2-55	Transit	1	2.84925800	0.00003300	-0.00003300	0					K2
995	K2-57	Transit	1	9.00630000	0.00130000	-0.00130000	0					K2
996	K2-58	Transit	3	7.05254000	0.00032000	-0.00032000	0					K2
997	K2-58	Transit	3	2.53726000	0.00017000	-0.00017000	0					K2
998	K2-58	Transit	3	22.88270000	0.00400000	-0.00400000	0					K2
999	K2-59	Transit	2	20.69210000	0.00330000	-0.00330000	0					K2
1000	K2-59	Transit	2	11.29540000	0.00100000	-0.00100000	0					K2
1001	K2-6	Transit	1	30.94191000	0.00467000	-0.00467000	0					K2
1002	K2-60	Transit	1	3.00265000	0.00004000	-0.00004000	0					K2
1003	K2-61	Transit	1	2.57302000	0.00020000	-0.00020000	0					K2
1004	K2-62	Transit	2	6.67202000	0.00028000	-0.00028000	0					K2
1005	K2-62	Transit	2	16.19660000	0.00120000	-0.00120000	0					K2
1006	K2-63	Transit	1	20.25700000	0.00720000	-0.00720000	0					K2
1007	K2-64	Transit	1	6.53044000	0.00067000	-0.00067000	0					K2
1008	K2-65	Transit	1	12.64750000	0.00130000	-0.00130000	0	78.06	11.17	-15.66	0	K2
1009	K2-66	Transit	1	5.06963000	0.00081000	-0.00081000	0					K2
1010	K2-68	Transit	1	8.05428000	0.00082000	-0.00082000	0					K2
1011	K2-69	Transit	1	7.06599000	0.00050000	-0.00050000	0					K2
1012	K2-7	Transit	1	28.67992000	0.00947000	-0.00947000	0					K2
1013	K2-70	Transit	1	13.97896000	0.00095000	-0.00095000	0					K2
1014	K2-71	Transit	1	6.98541000	0.00075000	-0.00075000	0					K2
1015	K2-72	Transit	4	5.57721200	0.00041700	-0.00041900	0					K2
1016	K2-72	Transit	4	15.18903400	0.00312800	-0.00314900	0					K2
1017	K2-72	Transit	4	7.76017800	0.00149600	-0.00149600	0					K2
1018	K2-72	Transit	4	24.15886800	0.00372600	-0.00385000	0					K2
1019	K2-73	Transit	1	7.49543000	0.00059000	-0.00059000	0					K2
1020	K2-74	Transit	1	19.56660000	0.00330000	-0.00330000	0					K2
1021	K2-75	Transit	2	7.81420000	0.00210000	-0.00210000	0					K2
1022	K2-75	Transit	2	18.31100000	0.01400000	-0.01400000	0					K2
1023	K2-77	Transit	1	8.19979600	0.00068300	-0.00071900	0					K2
1024	K2-79	Transit	1	10.99573000	0.00070000	-0.00070000	0					K2
1025	K2-8	Transit	2	10.35239000	0.00086000	-0.00086000	0					K2
1026	K2-8	Transit	2	5.06416000	0.00041000	-0.00041000	0					K2
1027	K2-80	Transit	3	28.86725300	0.00514000	-0.00462500	0					K2
1028	K2-80	Transit	3	19.09180000	0.00640000	-0.00640000	0					K2
1029	K2-80	Transit	3	5.60500000	0.00110000	-0.00110000	0					K2
1030	K2-81	Transit	1	6.10232500	0.00039000	-0.00040700	0					K2
1031	K2-83	Transit	2	2.74697000	0.00018000	-0.00018000	0					K2
1032	K2-83	Transit	2	9.99767000	0.00081000	-0.00081000	0					K2
1033	K2-84	Transit	2	6.42150000	0.00056000	-0.00056000	0					K2
1034	K2-84	Transit	2	27.86000000	0.00520000	-0.00520000	0					K2
1035	K2-85	Transit	1	0.68453300	0.00001800	-0.00001800	0					K2
1036	K2-86	Transit	1	8.77683000	0.00098000	-0.00098000	0					K2
1037	K2-87	Transit	1	9.72739000	0.00087000	-0.00087000	0					K2
1038	K2-88	Transit	1	4.61220000	0.00018000	-0.00018000	0					K2
1039	K2-89	Transit	1	1.09602600	0.00006500	-0.00006500	0					K2
1040	K2-9	Transit	1	18.44980000	0.00150000	-0.00150000	0					K2
1041	K2-90	Transit	2	13.73490700	0.00079800	-0.00080200	0					K2
1042	K2-90	Transit	2	2.90070600	0.00033100	-0.00031900	0					K2
1043	K2-91	Transit	1	1.41954900	0.00007100	-0.00007100	0					K2
1044	K2-95	Transit	1	10.13389000	0.00068000	-0.00077000	0					K2
1045	K2-97	Transit	1	8.40610000	0.00150000	-0.00150000	0					K2
1046	K2-98	Transit	1	10.13675000	0.00033000	-0.00033000	0					K2
1047	K2-99	Transit	1	18.24900000	0.00100000	-0.00100000	0					K2
1048	KELT-1	Transit	1	1.21751400	0.00001500	-0.00001500	0	262.00	14.00	-14.00	0	KELT
1049	KELT-10	Transit	1	4.16627390	0.00000630	-0.00000630	0	183.00	14.00	-14.00	0	KELT-South
1050	KELT-11	Transit	1	4.73652900	0.00006800	-0.00005900	0	98.00	5.00	-5.00	0	KELT-South
1051	KELT-12	Transit	1	5.03162300	0.00003200	-0.00003100	0	360.00	25.00	-25.00	0	KELT-North
1052	KELT-14	Transit	1	1.71005660	0.00000320	-0.00000260	0	266.00	10.00	-10.00	0	KELT-South
1053	KELT-15	Transit	1	3.32944000	0.00001600	-0.00001600	0	291.00	30.00	-30.00	0	KELT-South
1054	KELT-16	Transit	1	0.96899510	0.00000240	-0.00000240	0	395.26	37.49	-37.49	0	KELT
1055	KELT-17	Transit	1	3.08017160	0.00000530	-0.00000520	0	210.00	10.00	-10.00	0	KELT
1056	KELT-18	Transit	1	2.87175180	0.00000280	-0.00000280	0	311.00	14.00	-14.00	0	KELT-North
1057	KELT-19 A	Transit	1	4.61170930	0.00000880	-0.00000880	0	292.00	61.14	-61.14	0	KELT
1058	KELT-2 A	Transit	1	4.11379000	0.00001000	-0.00001000	0	124.22	16.58	-22.62	0	KELT
1059	KELT-20	Transit	1	3.47410850	0.00000190	-0.00000190	0	139.70	6.60	-6.60	0	KELT-North
1060	KELT-21	Transit	1	3.61276470	0.00000330	-0.00000330	0	415.00	49.00	-49.00	0	KELT-North
1061	KELT-3	Transit	1	2.70339000	0.00001000	-0.00001000	0	178.00	16.00	-16.00	0	KELT
1062	KELT-4 A	Transit	1	2.98959320	0.00000490	-0.00000490	0	210.00	10.00	-10.00	0	KELT
1063	KELT-6	Transit	2	7.84570000	0.00020000	-0.00020000	0	222.00	8.00	-8.00	0	KELT
1064	KELT-6	Radial Velocity	2	1276.00000000	81.00000000	-67.00000000	0	222.00	8.00	-8.00	0	Multiple Observatories
1065	KELT-7	Transit	1	2.73477000	0.00000400	-0.00000400	0	129.00	8.00	-8.00	0	KELT
1066	KELT-8	Transit	1	3.24406000	0.00016000	-0.00016000	0	236.00	9.00	-9.00	0	KELT
1067	KELT-9	Transit	1	1.48112350	0.00000110	-0.00000110	0	188.70	18.20	-18.20	0	KELT-North
1068	KIC 10001893	Orbital Brightness Modulation	3	0.21970000			0					Kepler
1069	KIC 10001893	Orbital Brightness Modulation	3	0.32528000			0					Kepler
1070	KIC 10001893	Orbital Brightness Modulation	3	0.81161000			0					Kepler
1071	KIC 10525077	Transit	1	854.08300000	0.01628000	-0.01697000	0					Kepler
1072	KIC 3558849	Transit	1	1322.30000000	386.10000000	-11.20000000	0					Kepler
1073	KIC 5437945	Transit	2	440.78130000	0.00563000	-0.00577000	0					Kepler
1074	KIC 5951458	Transit	1	1320.10000000	12401.80000000	-152.50000000	0					Kepler
1075	KIC 7917485	Pulsation Timing Variations	1	840.00000000	22.00000000	-20.00000000	0					Kepler
1076	KOI-7892	Transit	2	31.80990000	0.00919000	-0.00933000	0					Kepler
1077	KOI-7892	Transit	2	75.20000000	38.90000000	-1.10000000	0					Kepler
1078	KIC 9663113	Transit	2	572.38470000	0.00583000	-0.00567000	0					Kepler
1079	KOI-12	Transit	1	17.85523000	0.00000100	-0.00000100	0	426.00	40.00	-40.00	0	Kepler
1080	KOI-1257	Transit	1	86.64766100	0.00003400	-0.00003400	0	900.00	110.00	-110.00	0	Kepler
1081	KOI-13	Transit	1	1.76358800	0.00000100	-0.00000100	0					Kepler
1082	KOI-142	Transit	2	10.95416000	0.00011000	-0.00013000	0	339.00	25.00	-23.00	0	Kepler
1083	KOI-142	Transit Timing Variations	2	22.33950000	0.00190000	-0.00170000	0	339.00	25.00	-23.00	0	Kepler
1084	KOI-217	Transit	1	3.90512000	0.00005000	-0.00005000	0	800.00			0	Kepler
1085	KOI-351	Transit	8	7.00815100	0.00001900	-0.00001900	0	780.00	100.00	-100.00	0	Kepler
1086	KOI-351	Transit	8	8.71937500	0.00002700	-0.00002700	0	780.00	100.00	-100.00	0	Kepler
1087	KOI-351	Transit	8	59.73667000	0.00038000	-0.00038000	0	780.00	100.00	-100.00	0	Kepler
1088	KOI-351	Transit	8	91.93913000	0.00073000	-0.00073000	0	780.00	100.00	-100.00	0	Kepler
1089	KOI-351	Transit	8	124.91440000	0.00190000	-0.00190000	0	780.00	100.00	-100.00	0	Kepler
1090	KOI-351	Transit	8	210.60697000	0.00043000	-0.00043000		780.00	100.00	-100.00	0	Kepler
1091	KOI-351	Transit	8	331.60059000	0.00037000	-0.00037000	0	780.00	100.00	-100.00	0	Kepler
1092	KOI-351	Transit	8	14.44912000	0.00020000	-0.00020000	0	780.00	100.00	-100.00	0	Kepler
1093	KOI-55	Orbital Brightness Modulation	2	0.24010400	0.00000400	-0.00000400	0	1180.00	95.00	-95.00	0	Kepler
1094	KOI-55	Orbital Brightness Modulation	2	0.34288700	0.00001300	-0.00001300	0	1180.00	95.00	-95.00	0	Kepler
1095	KOI-94	Transit	4	3.74320800	0.00001500	-0.00001500	0					Kepler
1096	KOI-94	Transit	4	10.42364800	0.00001600	-0.00001600	0					Kepler
1097	KOI-94	Transit	4	22.34298900	0.00000670	-0.00000670	0					Kepler
1098	KOI-94	Transit	4	54.32031000	0.00012000	-0.00012000	0					Kepler
1099	KPS-1	Transit	1	1.70629100	0.00005900	-0.00005900	0					Acton Sky Portal Observatory
1100	Kapteyn	Radial Velocity	1	121.54000000	0.25000000	-0.25000000	0	3.92	0.01	-0.01	0	Multiple Observatories
1101	Kepler-10	Transit	2	0.83749100	0.00000200	-0.00000200	0	173.00	27.00	-27.00	0	Kepler
1102	Kepler-10	Transit	2	45.29430100	0.00004800	-0.00004800	0	173.00	27.00	-27.00	0	Kepler
1103	Kepler-100	Transit	3	6.88705000			0					Kepler
1104	Kepler-100	Transit	3	12.81590000			0					Kepler
1105	Kepler-100	Transit	3	35.33310000			0					Kepler
1106	Kepler-1000	Transit	1	120.01812720	0.00036280	-0.00036280	0	925.00	51.17	-50.08	0	Kepler
1107	Kepler-1001	Transit	1	14.30511983	0.00004340	-0.00004340	0	1009.00	107.00	-69.51	0	Kepler
1108	Kepler-1002	Transit	1	4.33642933	0.00000695	-0.00000695	0	425.00	14.56	-12.18	0	Kepler
1109	Kepler-1003	Transit	1	3.55485691	0.00000671	-0.00000671	0	873.00	239.60	-116.11	0	Kepler
1110	Kepler-1004	Transit	1	5.28789787	0.00001198	-0.00001198	0	1080.00	86.99	-66.57	0	Kepler
1111	Kepler-1005	Transit	1	6.49801525	0.00001320	-0.00001320	0	515.00	72.05	-50.36	0	Kepler
