loc_rowid	pl_hostname	pl_discmethod	pl_pnum	pl_orbper	pl_orbpererr1	pl_orbpererr2	pl_orbperlim	st_dist	st_disterr1	st_disterr2	st_distlim	pl_facility
330	HD 12484	Radial Velocity	1	58.83000000	0.08000000	-0.08000000	0	51.10	2.50	-2.50	0	Haute-Provence Observatory
331	HD 125595	Radial Velocity	1	9.67370000	0.00390000	-0.00390000	0	27.45	0.88	-0.94	0	La Silla Observatory
332	HD 125612	Radial Velocity	3	559.40485000	1.30000000	-1.30000000	0	52.83	3.64	-4.22	0	W. M. Keck Observatory
333	HD 125612	Radial Velocity	3	4.15470000	0.00050000	-0.00050000	0	52.83	3.64	-4.22	0	La Silla Observatory
334	HD 125612	Radial Velocity	3	3008.00000000	202.00000000	-202.00000000	0	52.83	3.64	-4.22	0	La Silla Observatory
335	HD 12648	Radial Velocity	1	133.60001000	0.50000000	-0.50000000	0	158.40	9.00	-9.00	0	Bohyunsan Optical Astronomical Observatory
336	HD 12661	Radial Velocity	2	262.70862000	0.08300000	-0.08300000	0	37.16	1.11	-1.18	0	Multiple Observatories
337	HD 12661	Radial Velocity	2	1708.00000000	14.00000000	-14.00000000	0	37.16	1.11	-1.18	0	Multiple Observatories
338	HD 126614	Radial Velocity	1	1244.00000000	17.00000000	-17.00000000	0	68.35	4.98	-5.83	0	W. M. Keck Observatory
339	HD 128311	Radial Velocity	2	453.01900000	0.40400000	-0.40400000	0	16.52	0.04	-0.04	0	W. M. Keck Observatory
340	HD 128311	Radial Velocity	2	921.53800000	1.15000000	-1.15000000	0	16.52	0.04	-0.04	0	W. M. Keck Observatory
341	HD 128356	Radial Velocity	1	298.20000000	1.60000000	-1.60000000	0	26.03	0.52	-0.52	0	Multiple Observatories
342	HD 129445	Radial Velocity	1	1840.00000000	55.00000000	-55.00000000	0	67.61	4.80	-5.59	0	Las Campanas Observatory
343	HD 130322	Radial Velocity	1	10.70871000	0.00018000	-0.00018000	0	29.76	1.28	-1.40	0	La Silla Observatory
344	HD 131496	Radial Velocity	1	883.00000000	29.00000000	-29.00000000	0	121.36	12.90	-16.38	0	W. M. Keck Observatory
345	HD 131664	Radial Velocity	1	1951.00000000	41.00000000	-41.00000000	0	57.21	2.80	-3.11	0	La Silla Observatory
346	HD 13189	Radial Velocity	1	471.60001000	6.00000000	-6.00000000	0	300.30			-1	Thueringer Landessternwarte Tautenburg
347	HD 132406	Radial Velocity	1	974.00000000	39.00000000	-39.00000000	0	70.97	3.68	-4.10	0	Haute-Provence Observatory
348	HD 132563	Radial Velocity	1	1544.00000000	34.00000000	-34.00000000	0	98.52	16.28	-24.33	0	Roque de los Muchachos Observatory
349	HD 133131 A	Radial Velocity	2	649.00000000	3.00000000	-3.00000000	0	47.00			0	Las Campanas Observatory
350	HD 133131 A	Radial Velocity	2	3568.00000000	1084.00000000	-1084.00000000	0	47.00			0	Las Campanas Observatory
351	HD 133131 B	Radial Velocity	1	5769.00000000	831.00000000	-831.00000000	0	47.00			0	Las Campanas Observatory
352	HD 134987	Radial Velocity	2	258.17999000	0.07000000	-0.07000000	0	22.20	1.10	-1.10	0	W. M. Keck Observatory
353	HD 134987	Radial Velocity	2	5000.00000000	400.00000000	-400.00000000	0	22.20	1.10	-1.10	0	Multiple Observatories
354	HD 136418	Radial Velocity	1	464.29999000	3.20000000	-3.20000000	0	106.38	7.57	-8.82	0	W. M. Keck Observatory
355	HD 137388 A	Radial Velocity	1	330.00000000	3.00000000	-3.00000000	0	38.45	2.59	-2.99	0	La Silla Observatory
356	HD 13908	Radial Velocity	2	19.38200000	0.00600000	-0.00600000	0	66.89	3.60	-4.03	0	Haute-Provence Observatory
357	HD 13908	Radial Velocity	2	931.00000000	17.00000000	-17.00000000	0	66.89	3.60	-4.03	0	Haute-Provence Observatory
